"id","make","model","year","class","trans","drive","cyl","displ","fuel","hwy","cty"
3347,"ASC Incorporated","GNX",1987,"Midsize Cars","Automatic 4-spd","Rear-Wheel Drive",6,"3.8","Premium",21,14
33146,"Acura","ILX",2013,"Compact Cars","Automatic (S5)","Front-Wheel Drive",4,"2","Premium",35,24
33147,"Acura","ILX",2013,"Compact Cars","Manual 6-spd","Front-Wheel Drive",4,"2.4","Premium",31,22
33566,"Acura","ILX",2014,"Compact Cars","Automatic (S5)","Front-Wheel Drive",4,"2","Premium",35,24
33567,"Acura","ILX",2014,"Compact Cars","Manual 6-spd","Front-Wheel Drive",4,"2.4","Premium",31,22
33148,"Acura","ILX Hybrid",2013,"Compact Cars","Auto(AV-S7)","Front-Wheel Drive",4,"1.5","Premium",38,39
33607,"Acura","ILX Hybrid",2014,"Compact Cars","Auto(AV-S7)","Front-Wheel Drive",4,"1.5","Premium",38,39
17191,"Acura","MDX",2001,"Sport Utility Vehicle - 4WD","Automatic 5-spd","4-Wheel or All-Wheel Drive",6,"3.5","Premium",21,15
18137,"Acura","MDX",2002,"Sport Utility Vehicle - 4WD","Automatic 5-spd","4-Wheel or All-Wheel Drive",6,"3.5","Premium",21,15
33590,"Acura","MDX 2WD",2014,"Small Sport Utility Vehicle 2WD","Automatic (S6)","Front-Wheel Drive",6,"3.5","Premium",28,20
19118,"Acura","MDX 4WD",2003,"Sport Utility Vehicle - 4WD","Automatic 5-spd","4-Wheel or All-Wheel Drive",6,"3.5","Premium",21,15
20243,"Acura","MDX 4WD",2004,"Sport Utility Vehicle - 4WD","Automatic 5-spd","4-Wheel or All-Wheel Drive",6,"3.5","Premium",21,15
21351,"Acura","MDX 4WD",2005,"Sport Utility Vehicle - 4WD","Automatic 5-spd","4-Wheel or All-Wheel Drive",6,"3.5","Premium",21,15
22462,"Acura","MDX 4WD",2006,"Sport Utility Vehicle - 4WD","Automatic 5-spd","4-Wheel or All-Wheel Drive",6,"3.5","Premium",21,15
23771,"Acura","MDX 4WD",2007,"Sport Utility Vehicle - 4WD","Automatic (S5)","4-Wheel or All-Wheel Drive",6,"3.7","Premium",20,15
25012,"Acura","MDX 4WD",2008,"Sport Utility Vehicle - 4WD","Automatic (S5)","4-Wheel or All-Wheel Drive",6,"3.7","Premium",20,15
26163,"Acura","MDX 4WD",2009,"Sport Utility Vehicle - 4WD","Automatic (S5)","4-Wheel or All-Wheel Drive",6,"3.7","Premium",20,15
29797,"Acura","MDX 4WD",2010,"Sport Utility Vehicle - 4WD","Automatic (S6)","All-Wheel Drive",6,"3.7","Premium",21,16
30772,"Acura","MDX 4WD",2011,"Sport Utility Vehicle - 4WD","Automatic (S6)","All-Wheel Drive",6,"3.7","Premium",21,16
31947,"Acura","MDX 4WD",2012,"Sport Utility Vehicle - 4WD","Automatic (S6)","All-Wheel Drive",6,"3.7","Premium",21,16
33234,"Acura","MDX 4WD",2013,"Small Sport Utility Vehicle 4WD","Automatic (S6)","All-Wheel Drive",6,"3.7","Premium",21,16
33592,"Acura","MDX 4WD",2014,"Small Sport Utility Vehicle 4WD","Automatic (S6)","All-Wheel Drive",6,"3.5","Premium",27,18
7445,"Acura","NSX",1991,"Two Seaters","Automatic 4-spd","Rear-Wheel Drive",6,"3","Premium",22,16
7446,"Acura","NSX",1991,"Two Seaters","Manual 5-spd","Rear-Wheel Drive",6,"3","Premium",22,16
8556,"Acura","NSX",1992,"Two Seaters","Automatic 4-spd","Rear-Wheel Drive",6,"3","Premium",22,16
8557,"Acura","NSX",1992,"Two Seaters","Manual 5-spd","Rear-Wheel Drive",6,"3","Premium",22,17
9630,"Acura","NSX",1993,"Two Seaters","Automatic 4-spd","Rear-Wheel Drive",6,"3","Premium",22,16
9631,"Acura","NSX",1993,"Two Seaters","Manual 5-spd","Rear-Wheel Drive",6,"3","Premium",22,17
10617,"Acura","NSX",1994,"Two Seaters","Automatic 4-spd","Rear-Wheel Drive",6,"3","Premium",22,16
10618,"Acura","NSX",1994,"Two Seaters","Manual 5-spd","Rear-Wheel Drive",6,"3","Premium",22,17
11580,"Acura","NSX",1995,"Two Seaters","Automatic 4-spd","Rear-Wheel Drive",6,"3","Premium",22,16
11581,"Acura","NSX",1995,"Two Seaters","Manual 5-spd","Rear-Wheel Drive",6,"3","Premium",22,16
12507,"Acura","NSX",1996,"Two Seaters","Automatic 4-spd","Rear-Wheel Drive",6,"3","Premium",22,16
12508,"Acura","NSX",1996,"Two Seaters","Manual 5-spd","Rear-Wheel Drive",6,"3","Premium",22,16
13984,"Acura","NSX",1998,"Two Seaters","Automatic 4-spd","Rear-Wheel Drive",6,"3","Premium",22,16
13985,"Acura","NSX",1998,"Two Seaters","Manual 6-spd","Rear-Wheel Drive",6,"3.2","Premium",22,16
14790,"Acura","NSX",1999,"Two Seaters","Automatic 4-spd","Rear-Wheel Drive",6,"3","Premium",22,16
14791,"Acura","NSX",1999,"Two Seaters","Manual 6-spd","Rear-Wheel Drive",6,"3.2","Premium",22,16
15589,"Acura","NSX",2000,"Two Seaters","Automatic 4-spd","Rear-Wheel Drive",6,"3","Premium",22,15
15590,"Acura","NSX",2000,"Two Seaters","Manual 6-spd","Rear-Wheel Drive",6,"3.2","Premium",22,15
16425,"Acura","NSX",2001,"Two Seaters","Automatic (S4)","Rear-Wheel Drive",6,"3","Premium",22,15
16426,"Acura","NSX",2001,"Two Seaters","Manual 6-spd","Rear-Wheel Drive",6,"3.2","Premium",22,15
17332,"Acura","NSX",2002,"Two Seaters","Automatic (S4)","Rear-Wheel Drive",6,"3","Premium",22,15
17333,"Acura","NSX",2002,"Two Seaters","Manual 6-spd","Rear-Wheel Drive",6,"3.2","Premium",22,15
18292,"Acura","NSX",2003,"Two Seaters","Automatic (S4)","Rear-Wheel Drive",6,"3","Premium",22,15
18293,"Acura","NSX",2003,"Two Seaters","Manual 6-spd","Rear-Wheel Drive",6,"3.2","Premium",22,15
19332,"Acura","NSX",2004,"Two Seaters","Automatic (S4)","Rear-Wheel Drive",6,"3","Premium",22,16
19333,"Acura","NSX",2004,"Two Seaters","Manual 6-spd","Rear-Wheel Drive",6,"3.2","Premium",22,16
20451,"Acura","NSX",2005,"Two Seaters","Automatic (S4)","Rear-Wheel Drive",6,"3","Premium",22,16
20452,"Acura","NSX",2005,"Two Seaters","Manual 6-spd","Rear-Wheel Drive",6,"3.2","Premium",22,16
29364,"Acura","RDX 2WD",2010,"Sport Utility Vehicle - 2WD","Automatic (S5)","Front-Wheel Drive",4,"2.3","Premium",24,19
30430,"Acura","RDX 2WD",2011,"Sport Utility Vehicle - 2WD","Automatic (S5)","Front-Wheel Drive",4,"2.3","Premium",24,19
31900,"Acura","RDX 2WD",2012,"Sport Utility Vehicle - 2WD","Automatic (S5)","Front-Wheel Drive",4,"2.3","Premium",24,19
32634,"Acura","RDX 2WD",2013,"Small Sport Utility Vehicle 2WD","Automatic (S6)","Front-Wheel Drive",6,"3.5","Premium",28,20
33523,"Acura","RDX 2WD",2014,"Small Sport Utility Vehicle 2WD","Automatic (S6)","Front-Wheel Drive",6,"3.5","Premium",28,20
34839,"Acura","RDX 2WD",2015,"Small Sport Utility Vehicle 2WD","Automatic (S6)","Front-Wheel Drive",6,"3.5","Premium",28,20
23772,"Acura","RDX 4WD",2007,"Sport Utility Vehicle - 4WD","Automatic (S5)","4-Wheel or All-Wheel Drive",4,"2.3","Premium",22,17
25013,"Acura","RDX 4WD",2008,"Sport Utility Vehicle - 4WD","Automatic (S5)","4-Wheel or All-Wheel Drive",4,"2.3","Premium",22,17
25659,"Acura","RDX 4WD",2009,"Sport Utility Vehicle - 4WD","Automatic (S5)","4-Wheel or All-Wheel Drive",4,"2.3","Premium",22,17
29366,"Acura","RDX 4WD",2010,"Sport Utility Vehicle - 4WD","Automatic (S5)","All-Wheel Drive",4,"2.3","Premium",22,17
30567,"Acura","RDX 4WD",2011,"Sport Utility Vehicle - 4WD","Automatic (S5)","All-Wheel Drive",4,"2.3","Premium",22,17
31946,"Acura","RDX 4WD",2012,"Sport Utility Vehicle - 4WD","Automatic (S5)","All-Wheel Drive",4,"2.3","Premium",22,17
32635,"Acura","RDX 4WD",2013,"Small Sport Utility Vehicle 4WD","Automatic (S6)","All-Wheel Drive",6,"3.5","Premium",27,19
33524,"Acura","RDX 4WD",2014,"Small Sport Utility Vehicle 4WD","Automatic (S6)","All-Wheel Drive",6,"3.5","Premium",27,19
34843,"Acura","RDX 4WD",2015,"Small Sport Utility Vehicle 4WD","Automatic (S6)","All-Wheel Drive",6,"3.5","Premium",27,19
33517,"Acura","RLX",2014,"Midsize Cars","Automatic (S6)","Front-Wheel Drive",6,"3.5","Premium",31,20
34596,"Acura","RLX Hybrid",2014,"Midsize Cars","Automatic (S7)","All-Wheel Drive",6,"3.5","Premium",32,28
17406,"Acura","RSX",2002,"Subcompact Cars","Manual 5-spd","Front-Wheel Drive",4,"2","Regular",30,23
17407,"Acura","RSX",2002,"Subcompact Cars","Manual 6-spd","Front-Wheel Drive",4,"2","Premium",28,21
17408,"Acura","RSX",2002,"Subcompact Cars","Automatic (S5)","Front-Wheel Drive",4,"2","Regular",30,21
18390,"Acura","RSX",2003,"Subcompact Cars","Manual 5-spd","Front-Wheel Drive",4,"2","Regular",30,24
18391,"Acura","RSX",2003,"Subcompact Cars","Manual 6-spd","Front-Wheel Drive",4,"2","Premium",28,21
18392,"Acura","RSX",2003,"Subcompact Cars","Automatic (S5)","Front-Wheel Drive",4,"2","Regular",30,21
19445,"Acura","RSX",2004,"Subcompact Cars","Manual 5-spd","Front-Wheel Drive",4,"2","Regular",30,24
19446,"Acura","RSX",2004,"Subcompact Cars","Manual 6-spd","Front-Wheel Drive",4,"2","Premium",28,21
19447,"Acura","RSX",2004,"Subcompact Cars","Automatic (S5)","Front-Wheel Drive",4,"2","Regular",31,22
20584,"Acura","RSX",2005,"Subcompact Cars","Manual 5-spd","Front-Wheel Drive",4,"2","Regular",31,24
20585,"Acura","RSX",2005,"Subcompact Cars","Manual 6-spd","Front-Wheel Drive",4,"2","Premium",28,20
20586,"Acura","RSX",2005,"Subcompact Cars","Automatic (S5)","Front-Wheel Drive",4,"2","Regular",31,22
21706,"Acura","RSX",2006,"Subcompact Cars","Manual 5-spd","Front-Wheel Drive",4,"2","Regular",31,24
21707,"Acura","RSX",2006,"Subcompact Cars","Manual 6-spd","Front-Wheel Drive",4,"2","Premium",28,20
21708,"Acura","RSX",2006,"Subcompact Cars","Automatic (S5)","Front-Wheel Drive",4,"2","Regular",31,22
13190,"Acura","SLX",1996,"Special Purpose Vehicles","Automatic 4-spd","4-Wheel or All-Wheel Drive",6,"3.2","Regular",17,13
13191,"Acura","SLX",1996,"Special Purpose Vehicles","Manual 5-spd","4-Wheel or All-Wheel Drive",6,"3.2","Regular",17,14
13919,"Acura","SLX",1997,"Special Purpose Vehicles","Automatic 4-spd","4-Wheel or All-Wheel Drive",6,"3.2","Regular",17,13
13920,"Acura","SLX",1997,"Special Purpose Vehicles","Manual 5-spd","4-Wheel or All-Wheel Drive",6,"3.2","Regular",17,14
14705,"Acura","SLX",1998,"Special Purpose Vehicle 4WD","Automatic 4-spd","4-Wheel or All-Wheel Drive",6,"3.5","Regular",18,13
15505,"Acura","SLX",1999,"Sport Utility Vehicle - 4WD","Automatic 4-spd","4-Wheel or All-Wheel Drive",6,"3.5","Regular",18,13
19527,"Acura","TSX",2004,"Compact Cars","Manual 6-spd","Front-Wheel Drive",4,"2.4","Premium",27,19
19528,"Acura","TSX",2004,"Compact Cars","Automatic (S5)","Front-Wheel Drive",4,"2.4","Premium",29,20
20657,"Acura","TSX",2005,"Compact Cars","Manual 6-spd","Front-Wheel Drive",4,"2.4","Premium",27,19
20658,"Acura","TSX",2005,"Compact Cars","Automatic (S5)","Front-Wheel Drive",4,"2.4","Premium",28,20
22644,"Acura","TSX",2006,"Compact Cars","Automatic (S5)","Front-Wheel Drive",4,"2.4","Premium",28,20
22645,"Acura","TSX",2006,"Compact Cars","Manual 6-spd","Front-Wheel Drive",4,"2.4","Premium",28,19
23516,"Acura","TSX",2007,"Compact Cars","Manual 6-spd","Front-Wheel Drive",4,"2.4","Premium",28,19
23517,"Acura","TSX",2007,"Compact Cars","Automatic (S5)","Front-Wheel Drive",4,"2.4","Premium",28,20
24274,"Acura","TSX",2008,"Compact Cars","Manual 6-spd","Front-Wheel Drive",4,"2.4","Premium",28,19
24275,"Acura","TSX",2008,"Compact Cars","Automatic (S5)","Front-Wheel Drive",4,"2.4","Premium",28,20
25235,"Acura","TSX",2009,"Compact Cars","Manual 6-spd","Front-Wheel Drive",4,"2.4","Premium",28,20
25236,"Acura","TSX",2009,"Compact Cars","Automatic (S5)","Front-Wheel Drive",4,"2.4","Premium",30,21
28571,"Acura","TSX",2010,"Compact Cars","Manual 6-spd","Front-Wheel Drive",4,"2.4","Premium",28,20
28572,"Acura","TSX",2010,"Compact Cars","Automatic (S5)","Front-Wheel Drive",4,"2.4","Premium",30,21
28573,"Acura","TSX",2010,"Compact Cars","Automatic (S5)","Front-Wheel Drive",6,"3.5","Premium",27,18
34747,"Acura","TSX",2011,"Compact Cars","Manual 6-spd","Front-Wheel Drive",4,"2.4","Premium",29,21
34748,"Acura","TSX",2011,"Compact Cars","Automatic (S5)","Front-Wheel Drive",4,"2.4","Premium",31,22
34749,"Acura","TSX",2011,"Compact Cars","Automatic (S5)","Front-Wheel Drive",6,"3.5","Premium",28,19
31674,"Acura","TSX",2012,"Compact Cars","Manual 6-spd","Front-Wheel Drive",4,"2.4","Premium",29,21
31675,"Acura","TSX",2012,"Compact Cars","Automatic (S5)","Front-Wheel Drive",4,"2.4","Premium",31,22
31676,"Acura","TSX",2012,"Compact Cars","Automatic (S5)","Front-Wheel Drive",6,"3.5","Premium",28,19
33149,"Acura","TSX",2013,"Compact Cars","Manual 6-spd","Front-Wheel Drive",4,"2.4","Premium",29,21
33150,"Acura","TSX",2013,"Compact Cars","Automatic (S5)","Front-Wheel Drive",4,"2.4","Premium",31,22
33151,"Acura","TSX",2013,"Compact Cars","Automatic (S5)","Front-Wheel Drive",6,"3.5","Premium",28,19
34334,"Acura","TSX",2014,"Compact Cars","Automatic (S5)","Front-Wheel Drive",4,"2.4","Premium",31,22
34335,"Acura","TSX",2014,"Compact Cars","Manual 6-spd","Front-Wheel Drive",4,"2.4","Premium",29,21
34336,"Acura","TSX",2014,"Compact Cars","Automatic (S5)","Front-Wheel Drive",6,"3.5","Premium",28,19
34758,"Acura","TSX Wagon",2011,"Small Station Wagons","Automatic (S5)","Front-Wheel Drive",4,"2.4","Premium",30,22
31812,"Acura","TSX Wagon",2012,"Small Station Wagons","Automatic (S5)","Front-Wheel Drive",4,"2.4","Premium",30,22
33177,"Acura","TSX Wagon",2013,"Small Station Wagons","Automatic (S5)","Front-Wheel Drive",4,"2.4","Premium",30,22
34360,"Acura","TSX Wagon",2014,"Small Station Wagons","Automatic (S5)","Front-Wheel Drive",4,"2.4","Premium",30,22
29945,"Acura","ZDX 4WD",2010,"Sport Utility Vehicle - 4WD","Automatic (S6)","All-Wheel Drive",6,"3.7","Premium",23,16
30900,"Acura","ZDX 4WD",2011,"Sport Utility Vehicle - 4WD","Automatic (S6)","All-Wheel Drive",6,"3.7","Premium",23,16
31945,"Acura","ZDX 4WD",2012,"Sport Utility Vehicle - 4WD","Automatic (S6)","All-Wheel Drive",6,"3.7","Premium",23,16
33533,"Acura","ZDX 4WD",2013,"Small Sport Utility Vehicle 4WD","Automatic (S6)","All-Wheel Drive",6,"3.7","Premium",23,16
20150,"Cadillac","SRX 2WD",2004,"Sport Utility Vehicle - 2WD","Automatic 5-spd","Rear-Wheel Drive",6,"3.6","Premium",21,15
20151,"Cadillac","SRX 2WD",2004,"Sport Utility Vehicle - 2WD","Automatic 5-spd","Rear-Wheel Drive",8,"4.6","Premium",19,14
21257,"Cadillac","SRX 2WD",2005,"Sport Utility Vehicle - 2WD","Automatic (S5)","Rear-Wheel Drive",6,"3.6","Regular",22,15
21258,"Cadillac","SRX 2WD",2005,"Sport Utility Vehicle - 2WD","Automatic (S5)","Rear-Wheel Drive",8,"4.6","Premium",19,14
22354,"Cadillac","SRX 2WD",2006,"Sport Utility Vehicle - 2WD","Automatic (S5)","Rear-Wheel Drive",6,"3.6","Regular",21,15
22355,"Cadillac","SRX 2WD",2006,"Sport Utility Vehicle - 2WD","Automatic (S5)","Rear-Wheel Drive",8,"4.6","Premium",20,13
23704,"Cadillac","SRX 2WD",2007,"Sport Utility Vehicle - 2WD","Automatic (S5)","Rear-Wheel Drive",6,"3.6","Regular",22,15
23705,"Cadillac","SRX 2WD",2007,"Sport Utility Vehicle - 2WD","Automatic (S6)","Rear-Wheel Drive",8,"4.6","Premium",20,13
24565,"Cadillac","SRX 2WD",2008,"Sport Utility Vehicle - 2WD","Automatic (S5)","Rear-Wheel Drive",6,"3.6","Regular",22,15
24566,"Cadillac","SRX 2WD",2008,"Sport Utility Vehicle - 2WD","Automatic (S6)","Rear-Wheel Drive",8,"4.6","Premium",20,13
25600,"Cadillac","SRX 2WD",2009,"Sport Utility Vehicle - 2WD","Automatic (S6)","Rear-Wheel Drive",8,"4.6","Premium",20,13
25601,"Cadillac","SRX 2WD",2009,"Sport Utility Vehicle - 2WD","Automatic (S5)","Rear-Wheel Drive",6,"3.6","Regular",23,15
28735,"Cadillac","SRX 2WD",2010,"Sport Utility Vehicle - 2WD","Automatic (S6)","Front-Wheel Drive",6,"3","Regular",25,18
30504,"Cadillac","SRX 2WD",2011,"Sport Utility Vehicle - 2WD","Automatic (S6)","Front-Wheel Drive",6,"3","Regular",25,18
31594,"Cadillac","SRX 2WD",2012,"Sport Utility Vehicle - 2WD","Automatic (S6)","Front-Wheel Drive",6,"3.6","Gasoline or E85",24,17
32555,"Cadillac","SRX 2WD",2013,"Standard Sport Utility Vehicle 2WD","Automatic (S6)","Front-Wheel Drive",6,"3.6","Gasoline or E85",24,17
34235,"Cadillac","SRX 2WD",2014,"Standard Sport Utility Vehicle 2WD","Automatic (S6)","Front-Wheel Drive",6,"3.6","Regular",24,17
20261,"Cadillac","SRX AWD",2004,"Sport Utility Vehicle - 4WD","Automatic 5-spd","4-Wheel or All-Wheel Drive",6,"3.6","Premium",21,14
20262,"Cadillac","SRX AWD",2004,"Sport Utility Vehicle - 4WD","Automatic 5-spd","4-Wheel or All-Wheel Drive",8,"4.6","Premium",19,13
21370,"Cadillac","SRX AWD",2005,"Sport Utility Vehicle - 4WD","Automatic (S5)","4-Wheel or All-Wheel Drive",6,"3.6","Regular",21,14
21371,"Cadillac","SRX AWD",2005,"Sport Utility Vehicle - 4WD","Automatic (S5)","4-Wheel or All-Wheel Drive",8,"4.6","Premium",19,14
22476,"Cadillac","SRX AWD",2006,"Sport Utility Vehicle - 4WD","Automatic (S5)","4-Wheel or All-Wheel Drive",6,"3.6","Regular",20,14
22477,"Cadillac","SRX AWD",2006,"Sport Utility Vehicle - 4WD","Automatic (S5)","4-Wheel or All-Wheel Drive",8,"4.6","Premium",19,14
23777,"Cadillac","SRX AWD",2007,"Sport Utility Vehicle - 4WD","Automatic (S5)","4-Wheel or All-Wheel Drive",6,"3.6","Regular",21,14
23778,"Cadillac","SRX AWD",2007,"Sport Utility Vehicle - 4WD","Automatic (S6)","4-Wheel or All-Wheel Drive",8,"4.6","Premium",20,13
24632,"Cadillac","SRX AWD",2008,"Sport Utility Vehicle - 4WD","Automatic (S5)","4-Wheel or All-Wheel Drive",6,"3.6","Regular",22,14
24633,"Cadillac","SRX AWD",2008,"Sport Utility Vehicle - 4WD","Automatic (S6)","4-Wheel or All-Wheel Drive",8,"4.6","Premium",20,13
25661,"Cadillac","SRX AWD",2009,"Sport Utility Vehicle - 4WD","Automatic (S6)","4-Wheel or All-Wheel Drive",8,"4.6","Premium",20,13
25662,"Cadillac","SRX AWD",2009,"Sport Utility Vehicle - 4WD","Automatic (S5)","4-Wheel or All-Wheel Drive",6,"3.6","Regular",22,14
28786,"Cadillac","SRX AWD",2010,"Sport Utility Vehicle - 4WD","Automatic (S6)","All-Wheel Drive",6,"3","Regular",23,17
29943,"Cadillac","SRX AWD",2010,"Sport Utility Vehicle - 4WD","Automatic (S6)","All-Wheel Drive",6,"2.8","Premium",22,15
30553,"Cadillac","SRX AWD",2011,"Sport Utility Vehicle - 4WD","Automatic (S6)","All-Wheel Drive",6,"3","Regular",23,17
30554,"Cadillac","SRX AWD",2011,"Sport Utility Vehicle - 4WD","Automatic (S6)","All-Wheel Drive",6,"2.8","Premium",22,15
31607,"Cadillac","SRX AWD",2012,"Sport Utility Vehicle - 4WD","Automatic (S6)","All-Wheel Drive",6,"3.6","Gasoline or E85",23,16
32556,"Cadillac","SRX AWD",2013,"Standard Sport Utility Vehicle 4WD","Automatic (S6)","All-Wheel Drive",6,"3.6","Gasoline or E85",23,16
33745,"Cadillac","SRX AWD",2014,"Standard Sport Utility Vehicle 4WD","Automatic (S6)","All-Wheel Drive",6,"3.6","Regular",23,16
5654,"Dodge","CSX",1989,"Compact Cars","Manual 5-spd","Front-Wheel Drive",4,"2.2","Regular",26,18
23948,"Lincoln","MKX AWD",2007,"Sport Utility Vehicle - 4WD","Automatic 6-spd","4-Wheel or All-Wheel Drive",6,"3.5","Regular",22,16
25044,"Lincoln","MKX AWD",2008,"Sport Utility Vehicle - 4WD","Automatic 6-spd","4-Wheel or All-Wheel Drive",6,"3.5","Regular",22,15
26192,"Lincoln","MKX AWD",2009,"Sport Utility Vehicle - 4WD","Automatic 6-spd","4-Wheel or All-Wheel Drive",6,"3.5","Regular",22,15
28806,"Lincoln","MKX AWD",2010,"Sport Utility Vehicle - 4WD","Automatic 6-spd","All-Wheel Drive",6,"3.5","Regular",23,17
30550,"Lincoln","MKX AWD",2011,"Sport Utility Vehicle - 4WD","Automatic (S6)","All-Wheel Drive",6,"3.7","Regular",23,17
31974,"Lincoln","MKX AWD",2012,"Sport Utility Vehicle - 4WD","Automatic (S6)","All-Wheel Drive",6,"3.7","Regular",23,17
32243,"Lincoln","MKX AWD",2013,"Small Sport Utility Vehicle 4WD","Automatic (S6)","All-Wheel Drive",6,"3.7","Regular",23,17
34581,"Lincoln","MKX AWD",2014,"Small Sport Utility Vehicle 4WD","Automatic (S6)","All-Wheel Drive",6,"3.7","Regular",23,17
23947,"Lincoln","MKX FWD",2007,"Sport Utility Vehicle - 2WD","Automatic 6-spd","Front-Wheel Drive",6,"3.5","Regular",23,16
25001,"Lincoln","MKX FWD",2008,"Sport Utility Vehicle - 2WD","Automatic 6-spd","Front-Wheel Drive",6,"3.5","Regular",24,16
26145,"Lincoln","MKX FWD",2009,"Sport Utility Vehicle - 2WD","Automatic 6-spd","Front-Wheel Drive",6,"3.5","Regular",24,17
28768,"Lincoln","MKX FWD",2010,"Sport Utility Vehicle - 2WD","Automatic 6-spd","Front-Wheel Drive",6,"3.5","Regular",25,18
30501,"Lincoln","MKX FWD",2011,"Sport Utility Vehicle - 2WD","Automatic (S6)","Front-Wheel Drive",6,"3.7","Regular",26,19
31929,"Lincoln","MKX FWD",2012,"Sport Utility Vehicle - 2WD","Automatic (S6)","Front-Wheel Drive",6,"3.7","Regular",26,19
32239,"Lincoln","MKX FWD",2013,"Small Sport Utility Vehicle 2WD","Automatic (S6)","Front-Wheel Drive",6,"3.7","Regular",26,19
34578,"Lincoln","MKX FWD",2014,"Small Sport Utility Vehicle 2WD","Automatic (S6)","Front-Wheel Drive",6,"3.7","Regular",26,18
8802,"Subaru","SVX",1992,"Subcompact Cars","Automatic 4-spd","4-Wheel or All-Wheel Drive",6,"3.3","Premium",23,15
9859,"Subaru","SVX",1993,"Subcompact Cars","Automatic 4-spd","Front-Wheel Drive",6,"3.3","Premium",24,16
10829,"Subaru","SVX",1994,"Subcompact Cars","Automatic 4-spd","Front-Wheel Drive",6,"3.3","Premium",23,15
11770,"Subaru","SVX",1995,"Subcompact Cars","Automatic 4-spd","Front-Wheel Drive",6,"3.3","Premium",23,15
9860,"Subaru","SVX AWD",1993,"Subcompact Cars","Automatic 4-spd","4-Wheel or All-Wheel Drive",6,"3.3","Premium",23,15
10830,"Subaru","SVX AWD",1994,"Subcompact Cars","Automatic 4-spd","4-Wheel or All-Wheel Drive",6,"3.3","Premium",23,15
11771,"Subaru","SVX AWD",1995,"Subcompact Cars","Automatic 4-spd","4-Wheel or All-Wheel Drive",6,"3.3","Premium",23,15
12658,"Subaru","SVX AWD",1996,"Subcompact Cars","Automatic 4-spd","4-Wheel or All-Wheel Drive",6,"3.3","Premium",22,15
13403,"Subaru","SVX AWD",1997,"Subcompact Cars","Automatic 4-spd","4-Wheel or All-Wheel Drive",6,"3.3","Premium",22,15
34668,"Subaru","WRX",2015,"Compact Cars","Manual 6-spd","All-Wheel Drive",4,"2","Premium",28,21
34669,"Subaru","WRX",2015,"Compact Cars","Manual 6-spd","All-Wheel Drive",4,"2.5","Premium",23,17
34711,"Subaru","WRX",2015,"Compact Cars","Auto(AV-S8)","All-Wheel Drive",4,"2","Premium",25,19
